Group,Instance,Balanced,Focus exploitation,High exploration
Large-5,5,2079.35,2354.01,1681.49
Large-6,6,3695.93,3695.93,3695.93
Medium-3,3,936.35,968.63,908.75
Medium-4,4,1669.04,1728.24,1613.54
Small-1,1,361.35,390.33,339.53
Small-2,2,781.03,867.47,703.92
