ParamCode,A,A,A,B,B,B,C,C,C
,Avg,Best,Worst,Avg,Best,Worst,Avg,Best,Worst
Instance,,,,,,,,,
1,25.2,0.0,122.0,10.4,5.0,33.0,11.4,0.0,74.0
2,51.65,9.0,198.0,36.5,18.0,94.0,17.2,1.0,86.0
3,19.8,2.0,89.0,17.05,5.0,51.0,5.15,0.0,11.0
4,9.3,1.0,21.0,28.5,15.0,46.0,5.5,0.0,17.0
5,74.9,33.0,114.0,223.6,107.0,325.0,21.25,10.0,32.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
