ParamCode,A,A,A,B,B,B,C,C,C
,Avg,Best,Worst,Avg,Best,Worst,Avg,Best,Worst
Instance,,,,,,,,,
1,0.079,,,0.643,,,0.017,,
2,0.13,,,1.054,,,0.026,,
3,0.144,,,1.181,,,0.03,,
4,0.237,,,1.911,,,0.048,,
5,0.317,,,2.956,,,0.072,,
6,0.514,,,4.123,,,0.103,,
