Group,Instance,Balanced,Focus exploitation,High exploration
Large-5,5,76.13,52.48,35.21
Large-6,6,0.0,0.0,0.0
Medium-3,3,14.87,17.84,2.48
Medium-4,4,27.77,52.06,10.97
Small-1,1,25.83,27.76,11.44
Small-2,2,33.01,33.78,10.22
