Group,Instance,Balanced,Focus exploitation,High exploration
Large-5,5,1.505,0.277,12.449
Large-6,6,2.078,0.468,17.454
Medium-3,3,0.604,0.13,5.016
Medium-4,4,1.1,0.222,9.093
Small-1,1,0.425,0.067,2.832
Small-2,2,0.522,0.107,4.595
